exit_time,direction,entry_price,exit_price,notional,exit_reason,pnl_usdt,capital,drawdown
2021-05-14 00:00:00+00:00,short,39.15,42.153,3363.4021,TREND_EXIT,-261.3531,9738.6469,0.026135
2021-05-15 12:00:00+00:00,long,44.605,40.223,4956.5535,SL,-491.8889,9246.758,0.075324
2021-05-18 16:00:00+00:00,long,42.317,56.912,6702.5532,TP,2304.9869,11551.745,0.0
2021-05-19 00:00:00+00:00,long,58.146,56.94,3887.082,TREND_EXIT,-84.5086,11467.2363,0.007316
2021-05-20 00:00:00+00:00,short,47.732,34.237,2769.1699,TREND_EXIT,780.1427,12247.379,0.0
2021-05-21 00:00:00+00:00,long,48.338,45.676,3287.5045,TREND_EXIT,-184.3322,12063.0468,0.015051
2021-06-03 00:00:00+00:00,short,37.816,34.126,2845.0554,TREND_EXIT,274.769,12337.8159,0.0
2021-06-04 00:00:00+00:00,long,35.216,38.84,11385.9676,TREND_EXIT,1160.3186,13498.1344,0.0
2021-06-05 00:00:00+00:00,short,37.928,39.778,7467.2877,TREND_EXIT,-371.6964,13126.438,0.027537
2021-06-08 02:00:00+00:00,long,42.15,36.694,5070.3754,SL,-661.3923,12465.0457,0.076536
2021-06-11 00:00:00+00:00,long,39.865,40.412,3934.4343,TREND_EXIT,50.0512,12515.0969,0.072828
2021-06-13 00:00:00+00:00,short,38.481,37.001,7976.0425,TREND_EXIT,298.7868,12813.8837,0.050692
2021-06-18 00:00:00+00:00,long,36.95,38.879,10559.166,TREND_EXIT,540.6893,13354.573,0.010636
2021-06-21 21:00:00+00:00,short,37.466,27.441,12477.3674,TP,3326.1659,16680.7389,0.0
2021-06-23 08:00:00+00:00,short,26.731,31.383,4792.4853,SL,-838.8294,15841.9095,0.050287
2021-06-24 17:00:00+00:00,short,29.086,32.945,5970.1708,SL,-798.0656,15043.8439,0.098131
2021-06-28 15:00:00+00:00,short,30.378,32.99,8748.1219,SL,-760.9403,14282.9035,0.143749
2021-06-30 23:00:00+00:00,short,32.249,35.653,6765.7073,SL,-720.9109,13561.9927,0.186967
2021-07-07 00:00:00+00:00,short,33.286,34.249,8316.5897,TREND_EXIT,-248.9245,13313.0681,0.20189
