exit_time,direction,level,profit_level,exit_reason,notional,entry_capital,peak_loss_ratio,pnl_usdt,capital,drawdown
2021-08-20 21:00:00+00:00,long,10,9,TP,250.0,10000.0,0.109667,309.1771,10309.1771,0.0
2021-09-05 21:00:00+00:00,long,8,10,TP,257.72942713644346,10309.177085457737,0.010141,291.2437,10600.4207,0.0
2021-10-05 18:00:00+00:00,long,10,9,TP,265.0105184947156,10600.420739788624,0.047187,330.178,10930.5988,0.0
2021-10-06 13:00:00+00:00,long,0,1,TP,273.26496948440274,10930.598779376109,0.0,32.2464,10962.8451,0.0
2021-10-15 02:00:00+00:00,long,3,10,TP,274.07112874428265,10962.845149771305,0.004947,227.4348,11190.28,0.0
2021-10-20 13:00:00+00:00,long,2,9,TP,279.7569997664427,11190.279990657706,0.001452,199.5811,11389.8611,0.0
2021-11-08 06:00:00+00:00,long,10,9,TP,284.74652789211456,11389.861115684582,0.018125,341.6957,11731.5568,0.0
2022-06-13 08:00:00+00:00,long,10,2,MAX_SL,293.28891924238064,11731.556769695226,0.200828,-2350.1241,9381.4327,0.200325
2022-06-16 14:00:00+00:00,short,0,1,TP,234.53581649515078,9381.43265980603,0.000121,27.6342,9409.0669,0.197969
2022-06-18 06:00:00+00:00,short,0,2,TP,235.2266720270983,9409.06688108393,8.6e-05,41.558,9450.6249,0.194427
2022-06-30 08:00:00+00:00,short,10,5,TP,236.26562140521042,9450.624856208417,0.023603,220.7721,9671.397,0.175608
2022-09-06 19:00:00+00:00,short,10,10,TP,241.78492506642394,9671.397002656957,0.126665,293.2146,9964.6116,0.150615
2022-09-19 02:00:00+00:00,short,9,10,TP,249.1152904230285,9964.61161692114,0.023727,285.1562,10249.7679,0.126308
2022-09-21 22:00:00+00:00,short,4,3,TP,256.2441964840727,10249.767859362906,0.004962,120.2231,10369.9909,0.11606
2022-10-13 12:00:00+00:00,short,8,10,TP,259.24977273481795,10369.990909392718,0.022368,288.5868,10658.5777,0.091461
2022-11-08 18:00:00+00:00,short,8,10,TP,266.46444247025045,10658.577698810017,0.046255,293.3935,10951.9712,0.066452
2022-11-11 14:00:00+00:00,short,2,2,TP,273.79928091611754,10951.9712366447,0.001487,80.5065,11032.4777,0.05959
2022-11-21 19:00:00+00:00,short,3,10,TP,275.81194257515733,11032.477703006292,0.003285,227.1043,11259.582,0.040231
2023-01-21 10:00:00+00:00,short,10,10,MAX_SL,281.4895493514314,11259.581974057255,0.194186,-2257.8277,9001.7543,0.232689
2023-02-02 00:00:00+00:00,long,4,10,TP,225.04385746773562,9001.754298709424,0.004004,199.4667,9201.221,0.215686
2023-02-15 20:00:00+00:00,long,5,1,TP,230.03052379011785,9201.220951604713,0.01096,97.2323,9298.4532,0.207398
2023-03-14 12:00:00+00:00,long,10,7,TP,232.46133114915096,9298.453245966039,0.078428,252.4912,9550.9444,0.185876
2023-03-17 06:00:00+00:00,long,1,3,TP,238.77361048913224,9550.944419565289,0.001179,70.5368,9621.4812,0.179863
2023-04-10 22:00:00+00:00,long,6,10,TP,240.53703018131853,9621.48120725274,0.014628,242.6638,9864.145,0.159179
2023-06-21 16:00:00+00:00,long,10,7,TP,246.60362618617114,9864.145047446846,0.063045,275.4595,10139.6045,0.135698
2023-10-23 16:00:00+00:00,long,10,10,TP,253.49011349161438,10139.604539664575,0.077984,329.3359,10468.9404,0.107626
2023-11-09 02:00:00+00:00,long,1,10,TP,261.72350987989824,10468.940395195928,0.002997,185.4645,10654.4049,0.091817
2023-12-01 09:00:00+00:00,long,4,10,TP,266.3601229285076,10654.404917140304,0.007088,236.603,10891.0079,0.071649
2023-12-05 21:00:00+00:00,long,0,1,TP,272.27519849541585,10891.007939816633,2.3e-05,32.1339,10923.1418,0.068909
2024-01-02 03:00:00+00:00,long,9,10,TP,273.07854475478257,10923.141790191303,0.0174,326.3441,11249.4859,0.041092
2024-01-08 18:00:00+00:00,long,3,1,TP,281.23714625222556,11249.485850089022,0.005821,83.7447,11333.2306,0.033953
2024-02-09 18:00:00+00:00,long,10,5,TP,283.3307644748973,11333.230578995892,0.057607,273.9327,11607.1633,0.010603
2024-02-14 09:00:00+00:00,long,1,7,TP,290.1790830923097,11607.163323692388,9.4e-05,154.9589,11762.1222,0.0
2024-02-26 20:00:00+00:00,long,4,7,TP,294.0530545505406,11762.122182021623,0.006964,208.5655,11970.6877,0.0
2024-03-04 14:00:00+00:00,long,0,3,TP,299.2671917201425,11970.687668805698,0.000753,70.6483,12041.3359,0.0
2024-03-08 15:00:00+00:00,long,5,4,TP,301.0333985768461,12041.335943073844,0.008694,181.143,12222.4789,0.0
2024-03-11 13:00:00+00:00,long,1,2,TP,305.5619735249228,12222.47894099691,0.000165,72.3094,12294.7884,0.0
2024-11-06 03:00:00+00:00,long,10,10,TP,307.3697094585307,12294.788378341227,0.15542,387.647,12682.4353,0.0
2024-11-10 18:00:00+00:00,long,0,0,TP,317.0608837489242,12682.435349956968,0.000136,18.7066,12701.1419,0.0
2024-11-13 15:00:00+00:00,long,2,2,TP,317.5285485524539,12701.141942098155,0.000773,93.9317,12795.0737,0.0
2024-11-21 03:00:00+00:00,long,3,10,TP,319.87684187471086,12795.073674988435,0.002411,265.1085,13060.1822,0.0
2024-12-05 02:00:00+00:00,long,7,10,TP,326.50455380335023,13060.182152134008,0.009144,348.9537,13409.1359,0.0
2024-12-15 23:00:00+00:00,long,6,10,TP,335.22839740153915,13409.135896061565,0.011965,338.9738,13748.1097,0.0
2025-01-20 06:00:00+00:00,long,10,8,TP,343.7027421237702,13748.109684950807,0.033067,396.7394,14144.849,0.0
2025-05-21 14:00:00+00:00,long,10,10,TP,353.62122590665626,14144.84903626625,0.132995,448.6877,14593.5367,0.0
2025-07-10 21:00:00+00:00,long,10,10,TP,364.8384182807694,14593.536731230775,0.034127,456.8575,15050.3942,0.0
2025-08-14 00:00:00+00:00,long,4,10,TP,376.2598547948487,15050.394191793948,0.017188,333.8321,15384.2263,0.0
2025-08-25 20:00:00+00:00,short,1,10,TP,384.60565815436684,15384.226326174672,9.3e-05,269.4822,15653.7085,0.0
2025-10-10 21:00:00+00:00,short,10,10,TP,391.34271266786885,15653.708506714753,0.067559,476.4082,16130.1167,0.0
2025-10-17 08:00:00+00:00,short,0,8,TP,403.2529172784559,16130.116691138235,0.000909,213.0055,16343.1222,0.0
2025-11-04 16:00:00+00:00,short,6,9,TP,408.5780559272978,16343.12223709191,0.014172,382.5694,16725.6917,0.0
2025-11-14 06:00:00+00:00,short,3,10,TP,418.14229144098726,16725.69165763949,0.012429,344.6924,17070.3841,0.0
2025-11-18 04:00:00+00:00,short,1,1,TP,426.75960199728473,17070.384079891388,5.8e-05,75.4416,17145.8257,0.0
2025-11-20 19:00:00+00:00,short,1,4,TP,428.6456429517349,17145.825718069394,0.002361,151.3472,17297.1729,0.0
2026-01-30 01:00:00+00:00,short,10,10,TP,432.42932343437354,17297.17293737494,0.057273,531.0274,17828.2004,0.0
2026-01-31 17:00:00+00:00,short,0,1,TP,445.7050091076063,17828.20036430425,3.1e-05,52.5871,17880.7875,0.0
2026-02-03 18:00:00+00:00,short,0,1,TP,447.0196871208184,17880.787484832734,0.000426,52.7255,17933.513,0.0
2026-02-23 01:00:00+00:00,short,8,10,TP,448.3378258026714,17933.513032106854,0.010216,499.829,18433.3421,0.0
