exit_time,direction,level,profit_level,exit_reason,notional,entry_capital,peak_loss_ratio,pnl_usdt,capital,drawdown
2021-06-27 09:00:00+00:00,short,0,0,TP1,264.3788164529232,10575.15265811693,0.0,1.6744,10576.8271,0.0
2021-07-13 19:00:00+00:00,short,10,1,TP2,264.3788164529232,10575.15265811693,0.055777,54.2466,10631.0736,0.0
2021-07-19 12:00:00+00:00,short,10,7,TP,264.3788164529232,10575.15265811693,0.055777,239.2746,10870.3482,0.0
2022-05-11 20:00:00+00:00,short,10,0,TP1,271.75870497030763,10870.348198812306,0.371402,15.0972,10885.4454,0.0
2022-05-12 03:00:00+00:00,short,10,0,TP2,271.75870497030763,10870.348198812306,0.371402,35.1044,10920.5498,0.0
2022-05-12 04:00:00+00:00,short,10,0,TP,271.75870497030763,10870.348198812306,0.371402,75.1189,10995.6687,0.0
2022-05-13 07:00:00+00:00,short,1,0,TP1,274.8917173582471,10995.668694329883,0.000248,3.4644,10999.133,0.0
2022-05-14 11:00:00+00:00,short,1,2,TP2,274.8917173582471,10995.668694329883,0.00032,17.7859,11016.919,0.0
2022-05-18 23:00:00+00:00,short,6,6,TP,274.8917173582471,10995.668694329883,0.001846,230.9569,11247.8758,0.0
2022-05-20 14:00:00+00:00,short,1,0,TP1,281.1968953283746,11247.875813134982,0.000502,3.5438,11251.4196,0.0
2022-05-20 15:00:00+00:00,short,1,0,TP2,281.1968953283746,11247.875813134982,0.000502,7.2935,11258.7131,0.0
2022-05-26 08:00:00+00:00,short,3,3,TP,281.1968953283746,11247.875813134982,0.003973,125.4612,11384.1743,0.0
2022-06-01 17:00:00+00:00,short,6,1,TP1,284.6043584810779,11384.174339243114,0.012467,13.2122,11397.3865,0.0
2022-06-01 19:00:00+00:00,short,6,1,TP2,284.6043584810779,11384.174339243114,0.012467,28.4157,11425.8022,0.0
2022-06-10 16:00:00+00:00,short,10,10,TP,284.6043584810779,11384.174339243114,0.018294,348.787,11774.5892,0.0
2022-06-20 02:00:00+00:00,short,5,0,TP1,294.3647299950134,11774.589199800535,0.00803,10.5257,11785.1149,0.0
2022-06-22 16:00:00+00:00,short,10,3,TP2,294.3647299950134,11774.589199800535,0.021162,67.0661,11852.181,0.0
2022-06-30 13:00:00+00:00,short,10,5,TP,294.3647299950134,11774.589199800535,0.031981,184.1877,12036.3687,0.0
2022-07-01 03:00:00+00:00,short,0,0,TP1,300.9092166647368,12036.368666589471,0.0,1.9058,12038.2744,0.0
2022-07-01 04:00:00+00:00,short,0,0,TP2,300.9092166647368,12036.368666589471,0.0,3.9118,12042.1862,0.0
2023-12-04 05:00:00+00:00,short,10,8,MAX_SL,100.30307222157894,12036.368666589471,0.499808,-6023.701,6018.4852,0.500217
2023-12-05 17:00:00+00:00,long,0,1,TP1,150.462131062785,6018.4852425113995,0.000133,1.9082,6020.3934,0.500058
2023-12-05 18:00:00+00:00,long,0,1,TP2,150.462131062785,6018.4852425113995,0.000133,3.9144,6024.3078,0.499733
2024-01-10 15:00:00+00:00,long,7,10,TP,150.462131062785,6018.4852425113995,0.026066,201.5843,6225.8921,0.482993
2024-01-16 20:00:00+00:00,long,1,2,TP1,155.647302849168,6225.89211396672,0.001821,3.9553,6229.8474,0.482665
2024-02-09 12:00:00+00:00,long,8,6,TP2,155.647302849168,6225.89211396672,0.024512,43.6957,6273.5431,0.479036
