exit_time,direction,level,profit_level,exit_reason,notional,entry_capital,peak_loss_ratio,pnl_usdt,capital,drawdown
2021-05-15 18:00:00+00:00,long,0,0,TP1,250.0,10000.0,0.0,1.5833,10001.5833,0.0
2021-05-15 19:00:00+00:00,long,0,0,TP2,250.0,10000.0,0.0,3.25,10004.8333,0.0
2021-05-15 22:00:00+00:00,long,0,0,TP,250.0,10000.0,0.0,6.5833,10011.4167,0.0
2021-05-25 03:00:00+00:00,short,8,1,TP1,250.28541666666672,10011.416666666668,0.017598,13.9242,10025.3409,0.0
2021-05-25 04:00:00+00:00,short,8,1,TP2,250.28541666666672,10011.416666666668,0.017598,30.6492,10055.9901,0.0
2021-05-25 10:00:00+00:00,short,8,1,TP,250.28541666666672,10011.416666666668,0.017598,64.0993,10120.0894,0.0
2021-05-26 13:00:00+00:00,short,6,0,TP1,253.0022353836234,10120.089415344935,0.008545,10.3084,10130.3978,0.0
2021-05-26 19:00:00+00:00,short,6,2,TP2,253.0022353836234,10120.089415344935,0.008545,31.9722,10162.37,0.0
2021-05-27 01:00:00+00:00,short,8,3,TP,253.0022353836234,10120.089415344935,0.008545,125.4698,10287.8398,0.0
2021-05-30 11:00:00+00:00,short,0,0,TP1,257.1959959509326,10287.839838037304,0.000216,1.6289,10289.4687,0.0
2021-05-30 14:00:00+00:00,short,0,0,TP2,257.1959959509326,10287.839838037304,0.000216,3.3435,10292.8123,0.0
2021-06-21 11:00:00+00:00,short,10,1,TP,257.1959959509326,10287.839838037304,0.111629,219.5558,10512.3681,0.0
2021-06-24 19:00:00+00:00,short,0,0,TP1,262.80920165173484,10512.368066069394,0.0,1.6645,10514.0325,0.0
2021-06-25 08:00:00+00:00,short,2,2,TP2,262.80920165173484,10512.368066069394,0.002322,23.7961,10537.8286,0.0
2021-06-25 12:00:00+00:00,short,2,2,TP,262.80920165173484,10512.368066069394,0.002322,48.3299,10586.1585,0.0
2021-06-27 05:00:00+00:00,short,0,0,TP1,264.65396233604065,10586.158493441626,0.0,1.6761,10587.8346,0.0
2021-07-10 17:00:00+00:00,short,10,2,TP2,264.65396233604065,10586.158493441626,0.04201,59.3376,10647.1722,0.0
2021-07-12 18:00:00+00:00,short,10,6,TP,264.65396233604065,10586.158493441626,0.04201,209.6663,10856.8385,0.0
2021-07-15 04:00:00+00:00,short,1,1,TP1,271.4209624071428,10856.83849628571,0.000849,5.1346,10861.9731,0.0
2021-07-15 10:00:00+00:00,short,1,1,TP2,271.4209624071428,10856.83849628571,0.000849,10.5634,10872.5365,0.0
2021-07-15 16:00:00+00:00,short,1,1,TP,271.4209624071428,10856.83849628571,0.000849,21.4212,10893.9577,0.0
2021-07-17 23:00:00+00:00,short,0,0,TP1,272.3489420278204,10893.957681112815,0.0,1.7249,10895.6826,0.0
2021-07-19 01:00:00+00:00,short,1,3,TP2,272.3489420278204,10893.957681112815,0.000297,24.6461,10920.3286,0.0
2021-07-19 11:00:00+00:00,short,1,3,TP,272.3489420278204,10893.957681112815,0.000297,50.0711,10970.3997,0.0
2021-07-21 00:00:00+00:00,short,1,0,TP1,274.25999232098684,10970.399692839474,0.001006,3.4564,10973.8561,0.0
2021-08-18 11:00:00+00:00,short,10,0,MAX_SL,182.8399948806579,10970.399692839474,0.491062,-5488.0339,5485.8222,0.500101
2021-08-22 08:00:00+00:00,long,2,0,TP1,137.145555485548,5485.822219421919,0.00196,2.6438,5488.4661,0.49986
2021-08-24 00:00:00+00:00,long,3,0,TP2,137.145555485548,5485.822219421919,0.002412,8.1395,5496.6055,0.499118
2021-08-26 14:00:00+00:00,long,10,2,TP,137.145555485548,5485.822219421919,0.008746,115.9206,5612.5261,0.488555
2021-08-31 19:00:00+00:00,long,0,0,TP1,140.31315335595156,5612.526134238062,0.0,0.8886,5613.4148,0.488474
2021-09-01 00:00:00+00:00,long,2,0,TP2,140.31315335595156,5612.526134238062,0.000894,7.3447,5620.7595,0.487805
2021-09-01 12:00:00+00:00,long,3,2,TP,140.31315335595156,5612.526134238062,0.000894,48.1646,5668.9241,0.483415
2021-09-04 20:00:00+00:00,long,2,0,TP1,141.7231019892826,5668.924079571304,0.0005,2.7321,5671.6562,0.483167
2021-09-06 06:00:00+00:00,long,4,3,TP2,141.7231019892826,5668.924079571304,0.004028,19.4936,5691.1498,0.48139
2021-09-06 16:00:00+00:00,long,4,4,TP,141.7231019892826,5668.924079571304,0.004028,50.7839,5741.9336,0.476762
2021-09-07 16:00:00+00:00,long,0,0,TP1,143.54834066617067,5741.933626646826,0.0,0.9091,5742.8428,0.47668
2021-09-07 17:00:00+00:00,long,0,0,TP2,143.54834066617067,5741.933626646826,0.0,1.8661,5744.7089,0.47651
2021-09-07 23:00:00+00:00,long,2,0,TP,143.54834066617067,5741.933626646826,0.0,26.5331,5771.242,0.474092
2021-09-08 09:00:00+00:00,long,0,0,TP1,144.28104901541604,5771.241960616641,0.0,0.9138,5772.1557,0.474008
2021-09-08 11:00:00+00:00,long,1,0,TP2,144.28104901541604,5771.241960616641,0.0,4.7014,5776.8571,0.47358
2021-09-08 16:00:00+00:00,long,3,1,TP,144.28104901541604,5771.241960616641,0.000432,44.3523,5821.2095,0.469538
2021-09-09 22:00:00+00:00,long,4,0,TP1,145.53023668032588,5821.209467213035,0.005758,4.8105,5826.0199,0.4691
2021-10-21 11:00:00+00:00,long,10,1,TP2,145.53023668032588,5821.209467213035,0.088138,30.9901,5857.01,0.466276
2021-10-22 00:00:00+00:00,long,10,3,TP,145.53023668032588,5821.209467213035,0.088138,84.1979,5941.2079,0.458603
2021-10-24 21:00:00+00:00,long,3,2,TP1,148.53019845278945,5941.207938111578,0.005478,5.7867,5946.9946,0.458076
2021-10-24 22:00:00+00:00,long,3,2,TP2,148.53019845278945,5941.207938111578,0.005478,11.7307,5958.7253,0.457007
2021-10-25 06:00:00+00:00,long,3,2,TP,148.53019845278945,5941.207938111578,0.005478,23.6187,5982.3441,0.454855
2021-10-28 14:00:00+00:00,long,7,2,TP1,149.55860144898392,5982.344057959357,0.015577,10.5195,5992.8635,0.453896
2021-10-29 02:00:00+00:00,long,9,4,TP2,149.55860144898392,5982.344057959357,0.015577,32.2242,6025.0877,0.45096
2021-11-02 17:00:00+00:00,long,10,7,TP,149.55860144898392,5982.344057959357,0.015577,111.8655,6136.9532,0.440766
