exit_time,direction,entry_price,exit_price,notional,exit_reason,peak_loss_ratio,pnl_usdt,capital,drawdown
2024-05-11 22:30:00+00:00,short,2914.93,2918.852019,7057.2681,SL,0.001082,-16.5528,9983.4472,0.001655
2024-05-11 23:35:00+00:00,short,2912.78,2909.3053,3995.227,PARTIAL_TP,0.0,0.7707,9984.218,0.001578
2024-05-11 23:40:00+00:00,short,2912.78,2905.8306,3995.227,TP,0.0,5.5367,9989.7547,0.001025
2024-05-13 01:40:00+00:00,short,2919.01,2911.520228,3230.0552,PARTIAL_TP,0.00025,5.0578,9994.8125,0.000519
2024-05-13 02:20:00+00:00,short,2919.01,2904.030455,3230.0552,TP,0.000371,13.3457,10008.1582,0.0
2024-05-14 04:10:00+00:00,short,2937.98,2944.34958,4744.4726,SL,0.001104,-15.0306,9993.1276,0.001502
2024-05-15 19:05:00+00:00,long,3001.96,2991.986699,3507.891,SL,0.001483,-15.162,9977.9656,0.003017
2024-05-16 00:15:00+00:00,long,3035.6,3027.481369,3592.4592,SL,0.001065,-13.2004,9964.7652,0.004336
2024-05-16 17:20:00+00:00,short,2945.68,2936.864711,2066.4411,PARTIAL_TP,0.000825,4.1176,9968.8828,0.003924
2024-05-16 17:25:00+00:00,short,2945.68,2928.049423,2066.4411,TP,0.0,10.3017,9979.1845,0.002895
2024-05-16 21:20:00+00:00,short,2931.88,2926.438371,2476.3612,PARTIAL_TP,0.000406,2.1198,9981.3043,0.002683
2024-05-16 21:30:00+00:00,short,2931.88,2936.043125,2476.3612,SL,0.000582,-5.9927,9975.3117,0.003282
2024-05-16 22:40:00+00:00,short,2926.28,2932.911543,4592.7371,SL,0.001345,-15.0008,9960.3108,0.004781
2024-05-17 05:50:00+00:00,short,2943.6,2939.952579,3301.7619,PARTIAL_TP,5.4e-05,0.7895,9961.1003,0.004702
2024-05-17 06:35:00+00:00,short,2943.6,2945.844433,3301.7619,SL,0.000803,-5.8193,9955.281,0.005283
2024-05-17 12:30:00+00:00,long,3036.84,3043.487129,1464.2381,PARTIAL_TP,0.0,1.7407,9957.0218,0.005109
2024-05-17 12:30:00+00:00,long,3036.84,3050.134258,1464.2381,TP,0.0,4.9457,9961.9675,0.004615
2024-05-17 22:10:00+00:00,long,3089.99,3093.577927,3242.4661,PARTIAL_TP,0.0,0.5225,9962.49,0.004563
2024-05-17 22:30:00+00:00,long,3089.99,3086.402073,3242.4661,SL,0.000404,-7.0074,9955.4825,0.005263
2024-05-17 23:00:00+00:00,long,3092.1,3088.451306,7588.3633,SL,0.001363,-16.5427,9938.9398,0.006916
2024-05-18 01:00:00+00:00,long,3095.37,3090.555429,8981.0056,SL,0.001784,-22.9502,9915.9897,0.009209
2024-05-18 03:10:00+00:00,long,3104.69,3111.254778,3133.5471,PARTIAL_TP,0.000356,3.4922,9919.4819,0.00886
2024-05-18 03:15:00+00:00,long,3104.69,3117.819556,3133.5471,TP,0.0,10.118,9929.6,0.007849
2024-05-18 16:35:00+00:00,long,3119.0,3112.524579,5249.0536,SL,0.001422,-16.1467,9913.4533,0.009463
2024-05-19 00:05:00+00:00,long,3122.23,3118.703692,8472.4349,SL,0.001087,-18.0414,9895.4119,0.011265
2024-05-21 01:05:00+00:00,long,3706.6,3680.803668,860.9248,SL,0.000678,-6.8526,9888.5593,0.01195
2024-05-21 12:25:00+00:00,long,3808.1,3776.054384,2367.0194,SL,0.002472,-22.2858,9866.2735,0.014177
2024-05-21 13:45:00+00:00,long,3803.0,3825.488033,1058.8565,PARTIAL_TP,9.4e-05,5.2024,9871.4759,0.013657
2024-05-21 13:50:00+00:00,long,3803.0,3780.511967,1058.8565,SL,0.001178,-7.3201,9864.1558,0.014388
2024-05-21 14:40:00+00:00,long,3821.63,3794.128781,1872.9144,SL,0.00152,-15.3508,9848.805,0.015922
2024-05-22 02:30:00+00:00,long,3798.08,3789.991026,3981.3584,SL,0.001272,-12.4607,9836.3444,0.017167
2024-05-22 20:20:00+00:00,long,3753.37,3765.717983,1440.3932,PARTIAL_TP,0.000225,3.2983,9839.6426,0.016838
2024-05-22 20:30:00+00:00,long,3753.37,3741.022017,1440.3932,SL,0.00078,-6.1791,9833.4636,0.017455
2024-05-22 21:40:00+00:00,long,3769.55,3752.472556,3048.905,SL,0.001963,-16.8616,9816.602,0.01914
2024-05-23 03:30:00+00:00,long,3766.73,3772.38,3308.2536,TIME,0.000806,1.654,9818.2561,0.018975
2024-05-23 11:15:00+00:00,long,3843.14,3860.595771,1724.4035,PARTIAL_TP,0.001364,6.1079,9824.364,0.018364
2024-05-23 11:20:00+00:00,long,3843.14,3878.051541,1724.4035,TP,0.0,13.9403,9838.3043,0.016972
2024-05-24 03:15:00+00:00,long,3823.23,3811.296043,1605.3536,SL,0.00073,-6.6164,9831.6879,0.017633
2024-05-24 12:25:00+00:00,long,3722.3,3710.360729,2749.3751,SL,0.00145,-11.568,9820.1199,0.018788
